bmg_alloy,paper_sno,actual_d_max
Al15.0Cu15.0Ce70.0,"[1, 5, 6, 7, 9]",2
Al15.0Cu20.0Ce65.0,"[1, 5, 6, 7, 9]",2
Al20.0Cu20.0Ce60.0,"[1, 5, 6, 7, 9]",3
Al25.0Cu20.0Ce55.0,"[1, 5, 6, 7, 9]",1
Al20.0Co20.0Ce60.0,"[1, 5, 6, 7, 9]",1
Al10.0Ni20.0Ce70.0,"[1, 5, 6, 7, 9]",1
Al48.0Ni15.0Ce70.0,"[1, 6]",1
Al10.0Fe2.0Cu20.0Ce68.0,"[1, 5, 6, 7, 9]",5
Al10.0Co0.2Cu20.0Ce69.8,"[1, 5, 6, 7, 9]",8
Al10.0Co0.5Cu20.0Ce69.5,"[1, 5, 6, 7, 9]",10
Al10.0Co1.0Cu20.0Ce69.0,"[1, 5, 6, 7]",10
Al10.0Co2.0Cu20.0Ce68.0,"[1, 5, 6, 7, 9]",10
Al10.0Co5.0Cu20.0Ce65.0,"[1, 5, 6, 7, 9]",8
Al10.0Ni2.0Cu20.0Ce68.0,"[1, 5, 6, 7, 9]",5
Al10.0Ni10.0Cu20.0Ce60.0,"[1, 5, 6, 7, 9]",1
Al10.0Cu20.0Nb1.0Ce69.0,"[1, 5, 6, 7, 9]",10
Al10.0Cu20.0Nb2.0Ce68.0,"[1, 5, 6, 7, 9]",8
Al10.0Cu20.0Nb3.0Ce67.0,"[1, 5, 6, 7]",5
Al10.0Cu19.0Zn1.0Ce70.0,"[1, 5, 6, 7]",1
Al10.0Cu18.0Zn2.0Ce70.0,"[1, 5, 6, 7, 9]",2
Al10.0Cu17.0Zn3.0Ce70.0,"[1, 5, 6, 7, 9]",3
Al10.0Cu18.0Ce70.0Bi2.0,"[1, 6]",1
Al10.0Si2.0Cu20.0Ce68.0,"[1, 5, 9, 6]",3
C2.0Al10.0Cu20.0Ce68.0,"[1, 5, 9, 6]",2
B2.0Al10.0Cu20.0Ce68.0,"[1, 5, 6]",2
Al10.0Fe5.0Cu23.0Zr62.0,"[1, 7, 9, 6]",3
Al16.0Co28.0Y2.0Zr54.0,"[1, 6]",5
Al16.0Co28.0Y5.0Zr51.0,"[1, 6]",5
Al16.0Co28.0Y12.0Zr44.0,"[1, 6]",6
Al8.0Ni6.0Cu16.0Zr70.0,"[1, 5, 6, 7, 9]",6
Al8.0Ni8.5Cu13.5Zr70.0,"[1, 5, 6, 7, 9]",10
